City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
155,mamallapuram,12.6264,80.1722,31.03,63,3,6.26,IN,1677582208
156,namibe,-15.1961,12.1522,26.32,65,87,5.02,AO,1677582209
157,upernavik,72.7868,-56.1549,-20.15,95,96,5.34,GL,1677582209
158,goderich,43.7501,-81.7165,-0.05,94,100,9.27,CA,1677582210
159,nantucket,41.2835,-70.0995,2.03,93,100,9.77,US,1677582210
160,tasiilaq,65.6145,-37.6368,2.09,97,100,1.45,GL,1677582211
161,katsuura,35.1333,140.3,14.08,63,0,11.4,JP,1677582211
162,alugan,12.2188,125.4808,25.69,89,52,6.69,PH,1677582212
163,nampula,-15.1165,39.2666,29.13,56,100,4.29,MZ,1677582212
164,fortuna,40.5982,-124.1573,3.7,96,100,5.66,US,1677582212
165,zhovtneve,50.6637,24.2492,1.72,45,77,1.14,UA,1677582213
166,snezhnogorsk,69.1933,33.2531,-4.12,83,100,13.76,RU,1677582213
167,moron,-34.6534,-58.6198,26.55,73,0,2.66,AR,1677582214
168,lavrentiya,65.5833,-171.0,-14.71,68,100,7.18,RU,1677582214
169,zabol,32.25,67.25,9.77,62,100,9.98,AF,1677582214
170,manaure,11.7751,-72.4445,23.12,84,6,4.5,CO,1677582215
171,muisne,0.6,-80.0333,23.95,88,100,2.93,EC,1677582216
172,acapulco,16.8634,-99.8901,23.28,78,9,1.52,MX,1677582121
173,buala,-8.145,159.5921,26.47,85,100,3.89,SB,1677582217
174,lebu,-37.6167,-73.65,13.34,94,8,6.68,CL,1677582217
175,lexington,37.9887,-84.4777,10.19,80,100,3.6,US,1677582218
176,fuerte olimpo,-21.0415,-57.8738,24.54,87,76,1.48,PY,1677582218
177,megion,61.0296,76.1136,0.01,87,96,5.05,RU,1677582219
178,new norfolk,-42.7826,147.0587,14.72,57,76,2.24,AU,1677582220
179,norman wells,65.282,-126.8329,-29.65,100,90,0.83,CA,1677582221
180,richards bay,-28.783,32.0377,31.27,54,10,4.87,ZA,1677581931
181,kalmunai,7.4167,81.8167,26.81,79,74,5.33,LK,1677582222
182,aksu,41.1231,80.2644,9.8,32,42,1.46,CN,1677582222
183,mehran,33.1222,46.1646,25.24,22,0,4.76,IR,1677582223
184,kuito,-12.3833,16.9333,22.17,71,100,1.76,AO,1677582223
185,zenzeli,45.9241,47.0474,14.0,53,100,5.76,RU,1677582224
186,marienburg,54.0359,19.0266,4.46,60,5,2.36,PL,1677582224
187,vale da amoreira,39.0697,-7.6985,9.05,38,95,2.01,PT,1677582225
188,aviles,43.5547,-5.9248,9.66,51,40,3.6,ES,1677582225
189,airai,-8.9266,125.4092,16.42,96,100,1.56,TL,1677582226
190,san miguelito,9.0333,-79.5,24.07,76,97,0.89,PA,1677582226
191,pringsewu,-5.3582,104.9744,24.66,91,97,0.72,ID,1677582227
192,vila velha,-20.3297,-40.2925,26.08,90,0,1.68,BR,1677582227
193,inhambane,-23.865,35.3833,23.71,95,100,5.71,MZ,1677582227
194,kodiak,57.79,-152.4072,-3.27,80,100,1.54,US,1677582228
195,atar,20.5169,-13.0499,24.37,27,0,7.21,MR,1677582228
196,lagunas,-5.2269,-75.6753,21.66,99,100,0.94,PE,1677582229
197,sakaiminato,35.55,133.2333,11.67,71,0,6.74,JP,1677582226
198,homer,59.6425,-151.5483,-6.64,54,89,1.31,US,1677582230
199,rawson,-43.3002,-65.1023,20.98,45,89,1.57,AR,1677582230
200,bengkulu,-3.8004,102.2655,24.84,86,100,2.41,ID,1677582231
201,shemursha,54.8866,47.5189,-4.31,78,65,9.38,RU,1677582231
202,viamao,-30.0811,-51.0233,24.1,72,10,1.08,BR,1677582232
203,saskylakh,71.9167,114.0833,-21.35,100,100,0.92,RU,1677582232
204,sorland,67.667,12.6934,2.92,75,100,10.74,NO,1677582233
205,aquiraz,-3.9014,-38.3911,27.88,79,57,4.45,BR,1677582235
206,srednekolymsk,67.45,153.6833,-38.88,100,99,0.58,RU,1677582236
207,tiksi,71.6872,128.8694,-33.82,100,54,0.59,RU,1677582236
208,haines junction,60.7522,-137.5108,-34.04,100,65,0.98,CA,1677582237
209,grand-lahou,5.1367,-5.0242,30.15,66,47,3.43,CI,1677582237
210,coos bay,43.3665,-124.2179,3.97,94,100,6.17,US,1677582238
211,eenhana,-17.4667,16.3333,36.06,23,57,1.54,,1677582238
212,egvekinot,66.3167,-179.1667,-24.21,77,80,6.67,RU,1677582239
213,birao,10.2849,22.7882,38.63,7,20,3.15,CF,1677582239
214,ojinaga,29.5667,-104.4167,9.53,31,0,1.54,MX,1677582240
215,acari,-15.4311,-74.6158,22.88,86,100,1.09,PE,1677582241
216,abbeville,50.1,1.8333,4.58,65,39,5.43,FR,1677582241
217,araouane,18.9048,-3.5265,26.45,15,0,3.28,ML,1677582242
218,ambilobe,-13.2,49.05,29.68,71,48,2.11,MG,1677582242
219,axim,4.8699,-2.2405,30.07,64,38,3.39,GH,1677582242
220,weihai,37.5017,122.1136,3.92,80,49,1.13,CN,1677582225
221,lamu,-2.2717,40.902,29.12,61,99,7.4,KE,1677582243
222,torbay,47.6666,-52.7314,-11.52,77,84,1.79,CA,1677582244
223,fort nelson,58.8053,-122.7002,-26.07,100,99,0.64,CA,1677582244
224,avarua,-21.2078,-159.775,23.03,88,40,1.03,CK,1677582245
225,portree,57.4129,-6.1942,4.73,88,90,2.63,GB,1677582246
226,pital,2.2665,-75.8044,18.88,84,65,2.04,CO,1677582246
227,merauke,-8.4667,140.3333,27.11,83,65,3.21,ID,1677582247
228,kokkarion,37.7764,26.8939,21.07,48,40,1.79,GR,1677582247
229,north bend,43.4065,-124.2243,3.93,94,100,6.17,US,1677582248
230,qaanaaq,77.484,-69.3632,-24.88,59,96,0.86,GL,1677582249
231,palmer,42.1584,-72.3287,-2.25,74,100,0.45,US,1677582165
232,padang,-0.9492,100.3543,29.03,88,98,2.02,ID,1677582111
233,brewster,41.3973,-73.6171,-1.16,93,100,4.12,US,1677582250
234,vanimo,-2.6741,141.3028,26.07,89,100,4.7,PG,1677582251
235,viedma,-40.8135,-62.9967,21.86,23,0,4.37,AR,1677582252
236,marawi,7.9986,124.2928,20.64,97,82,1.48,PH,1677582252
237,hanyang,32.1371,105.5126,11.96,34,54,1.97,CN,1677582252
238,ketchikan,55.3422,-131.6461,-0.01,86,20,2.57,US,1677582253
239,copperas cove,31.1241,-97.9031,16.82,40,0,5.66,US,1677582253
240,port hardy,50.6996,-127.4199,0.89,78,75,3.35,CA,1677582165
241,pevek,69.7008,170.3133,-38.55,100,41,0.77,RU,1677582254
242,virden,39.5009,-89.7679,5.05,84,21,3.17,US,1677582254
243,vestmannaeyjar,63.4427,-20.2734,8.55,93,100,10.29,IS,1677582255
244,naze,28.3667,129.4833,14.31,54,1,3.9,JP,1677582018
245,vostok,46.4856,135.8833,-3.05,97,100,5.27,RU,1677582256
246,mtwara,-10.2667,40.1833,29.52,63,99,6.05,TZ,1677582256
247,zaragoza,41.6561,-0.8773,9.45,45,75,12.86,ES,1677582256
248,najran,17.4924,44.1277,30.17,14,1,0.55,SA,1677582257
249,meulaboh,4.1363,96.1285,26.31,79,78,0.92,ID,1677582257
250,dunedin,-45.8742,170.5036,16.0,81,48,3.13,NZ,1677582258
251,qaqortoq,60.7167,-46.0333,-3.19,87,100,13.38,GL,1677582258
252,svetlyy,54.675,20.1347,4.03,66,14,5.27,RU,1677582259
253,tingi,-11.3,35.0333,20.27,81,100,0.43,TZ,1677582259
254,pasighat,28.0667,95.3333,23.96,40,29,0.72,IN,1677582160
255,chapais,49.7834,-74.8492,-14.48,90,100,4.29,CA,1677582261
256,sohag,26.557,31.6948,29.84,8,0,1.41,EG,1677582262
257,swift current,50.2834,-107.8014,-11.61,95,100,2.47,CA,1677582262
258,sechura,-5.5569,-80.8222,25.01,68,99,3.71,PE,1677582262
259,novaya lyalya,59.055,60.599,-3.78,80,100,6.38,RU,1677582263
260,quatre cocos,-20.2078,57.7625,28.94,69,16,4.48,MU,1677582263
261,lufilufi,-13.8745,-171.5986,24.88,74,32,4.85,WS,1677582264
262,san ramon de la nueva oran,-23.1322,-64.32600000000001,21.35,79,65,0.61,AR,1677582264
263,talnakh,69.4865,88.3972,-22.07,88,85,3.5,RU,1677582265
264,mafinga,-7.25,35.0667,25.3,70,100,0.09,TZ,1677582266
265,saint thomas mount,12.9964,80.2031,30.99,62,40,5.66,IN,1677582266
266,komsomolskiy,40.4272,71.7189,13.4,47,0,3.09,UZ,1677582268
267,loiza,18.4313,-65.8802,20.3,83,1,1.92,PR,1677582268
268,omboue,-1.5746,9.2618,27.1,78,98,1.75,GA,1677582268
269,isangel,-19.55,169.2667,27.3,86,100,6.87,VU,1677582269
270,anadyr,64.75,177.4833,-23.72,75,100,13.0,RU,1677582269
271,comodoro rivadavia,-45.8667,-67.5,18.62,51,53,16.49,AR,1677582162
272,lappeenranta,61.0587,28.1887,0.03,40,0,6.69,FI,1677582270
273,samarai,-10.6167,150.6667,27.68,79,100,10.56,PG,1677582271
274,wattegama,6.7989,81.4808,28.78,61,78,5.35,LK,1677582271
275,boralday,43.3578,76.8594,6.92,57,20,2.0,KZ,1677582272
276,houma,29.5958,-90.7195,22.78,93,100,4.12,US,1677582273
277,sungaipenuh,-2.0833,101.3833,18.57,98,100,0.89,ID,1677582273
278,kaitangata,-46.2817,169.8464,12.94,94,55,2.67,NZ,1677582273
279,ammon,43.4696,-111.9666,-2.72,89,100,9.26,US,1677582274
280,bardiyah,31.7561,25.0865,23.43,32,35,7.31,LY,1677582275
